Ag,Al,Au,Cd,Co,Cu,Fe,Hf,Mn,Nb,Ni,Pd,Pt,Ru,Si,Ta,Ti,Zn,Zr,Cooling_Rate,Heating_Rate,Density,AF,AS,MS,MF
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.74908023769473,0.0,0.0,0.0,0.0,0.0,50.25091976230527,0.0,0.0,5.471437785301013,14.630474692314316,6.405168172116861,55.15619344179663,45.15619344179663,25.15619344179663,10.156193441796631
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.901428612819835,0.0,0.0,0.0,0.0,0.0,49.098571387180165,0.0,0.0,14.546156168956706,6.262099474925733,6.453135463156815,95.12764533397834,85.12764533397834,65.12764533397834,50.127645333978336
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.46398788362281,0.0,0.0,0.0,0.0,0.0,49.53601211637719,0.0,0.0,9.7153397161449,7.424430711419206,6.454063512161011,75.26261862239286,65.26261862239286,45.262618622392864,30.262618622392864
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.19731696839408,0.0,0.0,0.0,0.0,0.0,49.80268303160592,0.0,0.0,12.628560367470541,18.478312827906187,6.463742990149821,91.32287330538708,81.32287330538708,61.32287330538708,46.32287330538708
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.31203728088487,0.0,0.0,0.0,0.0,0.0,50.68796271911513,0.0,0.0,18.613497108891394,14.09643589489385,6.472609133372266,66.00248005153058,56.00248005153058,36.00248005153058,21.002480051530583
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.31198904067241,0.0,0.0,0.0,0.0,0.0,50.68801095932759,0.0,0.0,8.739383437233124,5.137955774249445,6.497585207946253,94.77616142481003,84.77616142481003,64.77616142481003,49.77616142481003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1161672243364,0.0,0.0,0.0,0.0,0.0,50.8838327756636,0.0,0.0,11.155743845534445,6.5220731429904815,6.45163003483012,69.46008393670816,59.46008393670816,39.46008393670816,24.46008393670816
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.73235229154987,0.0,0.0,0.0,0.0,0.0,49.26764770845013,0.0,0.0,16.33326707814573,14.952526536620837,6.432295647294125,50.54188257401492,40.54188257401492,20.54188257401492,5.54188257401492
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.202230023486415,0.0,0.0,0.0,0.0,0.0,49.797769976513585,0.0,0.0,8.431972482374338,5.07592375769328,6.47951861947687,95.26909882096318,85.26909882096318,65.26909882096318,50.26909882096318
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.41614515559209,0.0,0.0,0.0,0.0,0.0,49.58385484440791,0.0,0.0,6.1546986474318945,7.4121207712624795,6.427083225126208,54.56433383930668,44.56433383930668,24.564333839306677,9.564333839306677
